CX;811;Cathay Pacific;HKG;Hong Kong;1:30 AM;false
AA;8891;American Airlines;HKG;Hong Kong;1:30 AM;true
AA;1682;American Airlines;CLT;Charlotte;5:00 AM;false
NK;103;Spirit Airlines;MYR;Myrtle Beach;5:00 AM;false
AA;1491;American Airlines;PHL;Philadelphia;5:00 AM;false
AA;2454;American Airlines;MIA;Miami;5:00 AM;false
JJ;2053;LATAM Airlines Brasil;MIA;Miami;5:00 AM;true
LA;8690;LATAM Airlines;MIA;Miami;5:00 AM;true
WN;4556;Southwest Airlines;MDW;Chicago;5:25 AM;false
5X;9820;UPS;BDL;Hartford;5:30 AM;false
WN;2223;Southwest Airlines;BWI;Baltimore;5:30 AM;false
DL;2079;Delta Air Lines;DTW;Detroit;5:35 AM;false
VS;3091;Virgin Atlantic;DTW;Detroit;5:35 AM;true
B6;917;JetBlue Airways;JFK;New York;5:40 AM;false
UA;1078;United Airlines;EWR;Newark;5:45 AM;false
CM;1963;Copa Airlines;EWR;Newark;5:45 AM;true
UA;389;United Airlines;IAD;Dulles;5:50 AM;false
AV;2023;AVIANCA;IAD;Dulles;5:50 AM;true
CM;8133;Copa Airlines;IAD;Dulles;5:50 AM;true
ET;1357;Ethiopian Airlines;IAD;Dulles;5:50 AM;true
NH;7101;ANA;IAD;Dulles;5:50 AM;true
AC;7677;Air Canada;YYZ;Toronto;5:50 AM;false
DL;900;Delta Air Lines;ATL;Atlanta;5:55 AM;false
AM;5599;Aeromexico;ATL;Atlanta;5:55 AM;true
VS;4253;Virgin Atlantic;ATL;Atlanta;5:55 AM;true
DL;6282;Delta Air Lines;RDU;Raleigh/Durham;6:04 AM;false
VS;4277;Virgin Atlantic;RDU;Raleigh/Durham;6:04 AM;true
UA;203;United Airlines;ORD;Chicago;6:05 AM;false
NH;7479;ANA;ORD;Chicago;6:05 AM;true
WN;3009;Southwest Airlines;BWI;Baltimore;6:05 AM;false
B6;51;JetBlue Airways;MCO;Orlando;6:05 AM;false
WN;203;Southwest Airlines;ATL;Atlanta;6:05 AM;false
B6;1481;JetBlue Airways;RIC;Richmond;6:10 AM;false
B6;1600;JetBlue Airways;DCA;Washington;6:10 AM;false
B6;2279;JetBlue Airways;EWR;Newark;6:15 AM;false
B6;2283;JetBlue Airways;RDU;Raleigh/Durham;6:15 AM;false
B6;1285;JetBlue Airways;PIT;Pittsburgh;6:20 AM;false
B6;159;JetBlue Airways;PHL;Philadelphia;6:20 AM;false
UA;1763;United Airlines;EWR;Newark;6:25 AM;false
CM;1174;Copa Airlines;EWR;Newark;6:25 AM;true
AA;2165;American Airlines;LGA;New York;6:30 AM;false
AS;6917;Alaska Airlines;LGA;New York;6:30 AM;true
DL;2666;Delta Air Lines;LGA;New York;6:30 AM;false
WS;6863;WestJet;LGA;New York;6:30 AM;true
DL;2650;Delta Air Lines;SLC;Salt Lake City;6:30 AM;false
9W;8382;Jet Airways (India);SLC;Salt Lake City;6:30 AM;true
VS;4267;Virgin Atlantic;SLC;Salt Lake City;6:30 AM;true
AA;543;American Airlines;PHL;Philadelphia;6:30 AM;false
QR;5549;Qatar Airways;PHL;Philadelphia;6:30 AM;true
B6;515;JetBlue Airways;BUF;Buffalo;6:30 AM;false
AA;2538;American Airlines;MIA;Miami;6:30 AM;false
JJ;2265;LATAM Airlines Brasil;MIA;Miami;6:30 AM;true
LA;9088;LATAM Airlines;MIA;Miami;6:30 AM;true
B6;727;JetBlue Airways;BWI;Baltimore;6:34 AM;false
PD;936;Porter Airlines;YTZ;Toronto;6:35 AM;false
NK;937;Spirit Airlines;RSW;Fort Myers;6:40 AM;false
AC;8455;Air Canada;YUL;Montreal;6:45 AM;false
UA;8123;United Airlines;YUL;Montreal;6:45 AM;true
B6;57;JetBlue Airways;IAD;Dulles;6:45 AM;false
EK;6043;Emirates;IAD;Dulles;6:45 AM;true
WN;502;Southwest Airlines;DEN;Denver;6:45 AM;false
B6;631;JetBlue Airways;LGA;New York;6:50 AM;false
WN;552;Southwest Airlines;STL;Saint Louis;6:50 AM;false
DL;189;Delta Air Lines;DTW;Detroit;6:50 AM;false
VS;4223;Virgin Atlantic;DTW;Detroit;6:50 AM;true
5X;9848;UPS;BDL;Hartford;6:50 AM;false
SY;250;Sun Country Airlines;MSP;Minneapolis;6:55 AM;false
DL;2667;Delta Air Lines;LGA;New York;7:00 AM;false
WS;6376;WestJet;LGA;New York;7:00 AM;true
AA;4761;American Airlines;LGA;New York;7:00 AM;false
AS;8226;Alaska Airlines;LGA;New York;7:00 AM;true
B6;1077;JetBlue Airways;LAS;Las Vegas;7:00 AM;false
LY;8534;El Al;LAS;Las Vegas;7:00 AM;true
DL;804;Delta Air Lines;JFK;New York;7:00 AM;false
AM;5499;Aeromexico;JFK;New York;7:00 AM;true
AZ;5918;Alitalia;JFK;New York;7:00 AM;true
CZ;1015;China Southern Airlines;JFK;New York;7:00 AM;true
KE;7308;Korean Air;JFK;New York;7:00 AM;true
VS;3093;Virgin Atlantic;JFK;New York;7:00 AM;true
B6;287;JetBlue Airways;LAX;Los Angeles;7:00 AM;false
HA;2343;Hawaiian Airlines;LAX;Los Angeles;7:00 AM;true
LY;8536;El Al;LAX;Los Angeles;7:00 AM;true
AS;25;Alaska Airlines;SEA;Seattle;7:00 AM;false
AA;7056;American Airlines;SEA;Seattle;7:00 AM;true
EK;3017;Emirates;SEA;Seattle;7:00 AM;true
KE;6222;Korean Air;SEA;Seattle;7:00 AM;true
AA;1404;American Airlines;ORD;Chicago;7:00 AM;false
AS;6761;Alaska Airlines;ORD;Chicago;7:00 AM;true
EY;3042;Etihad Airways;ORD;Chicago;7:00 AM;true
JL;7315;JAL;ORD;Chicago;7:00 AM;true
B6;1147;JetBlue Airways;PAP;Port Au Prince;7:00 AM;false
AA;2127;American Airlines;DCA;Washington;7:00 AM;false
B6;111;JetBlue Airways;ORD;Chicago;7:00 AM;false
LY;8546;El Al;ORD;Chicago;7:00 AM;true
B6;1039;JetBlue Airways;AUS;Austin;7:00 AM;false
LY;8502;El Al;AUS;Austin;7:00 AM;true
B6;1789;JetBlue Airways;DCA;Washington;7:09 AM;false
LY;8514;El Al;DCA;Washington;7:09 AM;true
DL;1201;Delta Air Lines;ATL;Atlanta;7:09 AM;false
AM;5597;Aeromexico;ATL;Atlanta;7:09 AM;true
VS;4249;Virgin Atlantic;ATL;Atlanta;7:09 AM;true
DL;1315;Delta Air Lines;MCO;Orlando;7:10 AM;false
VS;4233;Virgin Atlantic;MCO;Orlando;7:10 AM;true
VX;351;Virgin America;SFO;San Francisco;7:15 AM;false
CZ;1988;China Southern Airlines;SFO;San Francisco;7:15 AM;true
SQ;1393;Singapore Airlines;SFO;San Francisco;7:15 AM;true
UA;1928;United Airlines;EWR;Newark;7:15 AM;false
CM;2586;Copa Airlines;EWR;Newark;7:15 AM;true
B6;1137;JetBlue Airways;DTW;Detroit;7:15 AM;false
LY;8520;El Al;DTW;Detroit;7:15 AM;true
B6;441;JetBlue Airways;CLE;Cleveland;7:15 AM;false
LY;8510;El Al;CLE;Cleveland;7:15 AM;true
5X;2019;UPS;DFW;Dallas;7:15 AM;false
DL;2531;Delta Air Lines;LAX;Los Angeles;7:19 AM;false
VS;2161;Virgin Atlantic;LAX;Los Angeles;7:19 AM;true
B6;215;JetBlue Airways;DFW;Dallas;7:20 AM;false
LY;8518;El Al;DFW;Dallas;7:20 AM;true
WN;659;Southwest Airlines;MKE;Milwaukee;7:20 AM;false
WN;2256;Southwest Airlines;BNA;Nashville;7:20 AM;false
9K;7011;Cape Air;HYA;Hyannis;7:25 AM;false
B6;5903;JetBlue Airways;HYA;Hyannis;7:25 AM;true
TJ;201;Tradewind Aviation;HPN;Westchester County;7:30 AM;false
UA;339;United Airlines;DEN;Denver;7:30 AM;false
1I;612;NetJets Aviation;IAD;Dulles;7:30 AM;false
AA;656;American Airlines;PHL;Philadelphia;7:30 AM;false
NK;667;Spirit Airlines;BWI;Baltimore;7:30 AM;false
B6;773;JetBlue Airways;AUA;Aruba;7:30 AM;false
DL;2670;Delta Air Lines;LGA;New York;7:30 AM;false
WS;7134;WestJet;LGA;New York;7:30 AM;true
B6;619;JetBlue Airways;SAN;San Diego;7:35 AM;false
LY;8564;El Al;SAN;San Diego;7:35 AM;true
AA;875;American Airlines;CLT;Charlotte;7:35 AM;false
B6;1807;JetBlue Airways;BNA;Nashville;7:35 AM;false
AA;1274;American Airlines;MIA;Miami;7:45 AM;false
JJ;2249;LATAM Airlines Brasil;MIA;Miami;7:45 AM;true
LA;8206;LATAM Airlines;MIA;Miami;7:45 AM;true
XL;6233;LATAM Airlines Ecuador;MIA;Miami;7:45 AM;true
B6;1551;JetBlue Airways;MCO;Orlando;7:45 AM;false
LY;8540;El Al;MCO;Orlando;7:45 AM;true
B6;617;JetBlue Airways;JFK;New York;7:49 AM;false
EK;6704;Emirates;JFK;New York;7:49 AM;true
LY;8608;El Al;JFK;New York;7:49 AM;true
SA;7353;South African Airways;JFK;New York;7:49 AM;true
AA;3956;American Airlines;ROC;Rochester;7:53 AM;false
JL;7616;JAL;ROC;Rochester;7:53 AM;true
AA;2126;American Airlines;LGA;New York;8:00 AM;false
B6;255;JetBlue Airways;DCA;Washington;8:00 AM;false
AA;2303;American Airlines;DFW;Dallas;8:00 AM;false
QF;4546;Qantas;DFW;Dallas;8:00 AM;true
WN;644;Southwest Airlines;CMH;Columbus;8:00 AM;false
AA;2173;American Airlines;DCA;Washington;8:00 AM;false
B6;427;JetBlue Airways;BWI;Baltimore;8:00 AM;false
LY;8506;El Al;BWI;Baltimore;8:00 AM;true
DL;2747;Delta Air Lines;LGA;New York;8:00 AM;false
WS;7080;WestJet;LGA;New York;8:00 AM;true
9K;5211;Cape Air;ACK;Nantucket;8:00 AM;false
B6;5152;JetBlue Airways;ACK;Nantucket;8:00 AM;true
B6;401;JetBlue Airways;MSY;New Orleans;8:02 AM;false
LY;8542;El Al;MSY;New Orleans;8:02 AM;true
B6;459;JetBlue Airways;PHL;Philadelphia;8:06 AM;false
LY;8552;El Al;PHL;Philadelphia;8:06 AM;true
WN;675;Southwest Airlines;BWI;Baltimore;8:10 AM;false
BA;238;British Airways;LHR;London;8:10 AM;false
AA;6175;American Airlines;LHR;London;8:10 AM;true
AY;5438;Finnair;LHR;London;8:10 AM;true
EI;8938;Aer Lingus;LHR;London;8:10 AM;true
IB;4643;Iberia;LHR;London;8:10 AM;true
DL;2044;Delta Air Lines;MSP;Minneapolis;8:15 AM;false
VS;4235;Virgin Atlantic;MSP;Minneapolis;8:15 AM;true
WS;6690;WestJet;MSP;Minneapolis;8:15 AM;true
UA;809;United Airlines;SFO;San Francisco;8:20 AM;false
CA;7223;Air China;SFO;San Francisco;8:20 AM;true
NZ;9505;Air New Zealand;SFO;San Francisco;8:20 AM;true
9K;3031;Cape Air;MVY;Martha's Vineyard;8:20 AM;false
B6;5186;JetBlue Airways;MVY;Martha's Vineyard;8:20 AM;true
B6;151;JetBlue Airways;MCO;Orlando;8:20 AM;false
EK;6065;Emirates;MCO;Orlando;8:20 AM;true
CM;312;Copa Airlines;PTY;Panama City;8:21 AM;false
UA;7124;United Airlines;PTY;Panama City;8:21 AM;true
B6;133;JetBlue Airways;SFO;San Francisco;8:25 AM;false
JL;5938;JAL;SFO;San Francisco;8:25 AM;true
LY;8570;El Al;SFO;San Francisco;8:25 AM;true
UA;700;United Airlines;EWR;Newark;8:25 AM;false
CM;2000;Copa Airlines;EWR;Newark;8:25 AM;true
SK;6781;SAS;EWR;Newark;8:25 AM;true
B6;69;JetBlue Airways;FLL;Fort Lauderdale;8:25 AM;false
LY;8524;El Al;FLL;Fort Lauderdale;8:25 AM;true
FX;822;FedEx;MEM;Memphis;8:30 AM;false
AC;7621;Air Canada;YYZ;Toronto;8:30 AM;false
UA;8531;United Airlines;YYZ;Toronto;8:30 AM;true
5X;2055;UPS;SDF;Louisville;8:30 AM;false
DL;1203;Delta Air Lines;ATL;Atlanta;8:30 AM;false
AM;5687;Aeromexico;ATL;Atlanta;8:30 AM;true
VS;4227;Virgin Atlantic;ATL;Atlanta;8:30 AM;true
AC;8894;Air Canada;YHZ;Halifax;8:40 AM;false
UA;8117;United Airlines;YHZ;Halifax;8:40 AM;true
9K;1871;Cape Air;LEB;Lebanon;8:45 AM;false
B6;5168;JetBlue Airways;LEB;Lebanon;8:45 AM;true
B6;2191;JetBlue Airways;TPA;Tampa;8:45 AM;false
LY;8578;El Al;TPA;Tampa;8:45 AM;true
B6;1109;JetBlue Airways;JAX;Jacksonville;8:45 AM;false
LY;8530;El Al;JAX;Jacksonville;8:45 AM;true
B6;1383;JetBlue Airways;RDU;Raleigh/Durham;8:45 AM;false
LY;8558;El Al;RDU;Raleigh/Durham;8:45 AM;true
B6;1485;JetBlue Airways;PIT;Pittsburgh;8:45 AM;false
LY;8556;El Al;PIT;Pittsburgh;8:45 AM;true
B6;731;JetBlue Airways;LGA;New York;8:50 AM;false
B6;1031;JetBlue Airways;HOU;Houston;8:50 AM;false
LY;8526;El Al;HOU;Houston;8:50 AM;true
DL;4121;Delta Air Lines;IND;Indianapolis;8:50 AM;false
VS;4201;Virgin Atlantic;IND;Indianapolis;8:50 AM;true
B6;493;JetBlue Airways;DEN;Denver;8:50 AM;false
LY;8516;El Al;DEN;Denver;8:50 AM;true
B6;1245;JetBlue Airways;CLT;Charlotte;8:50 AM;false
LY;8512;El Al;CLT;Charlotte;8:50 AM;true
WN;680;Southwest Airlines;MCI;Kansas City;8:50 AM;false
WN;668;Southwest Airlines;MDW;Chicago;8:55 AM;false
9K;1811;Cape Air;ALB;Albany;8:58 AM;false
B6;5139;JetBlue Airways;ALB;Albany;8:58 AM;true
DL;6241;Delta Air Lines;RDU;Raleigh/Durham;9:02 AM;false
VS;4283;Virgin Atlantic;RDU;Raleigh/Durham;9:02 AM;true
DL;159;Delta Air Lines;DTW;Detroit;9:05 AM;false
VS;4221;Virgin Atlantic;DTW;Detroit;9:05 AM;true
DL;3336;Delta Air Lines;CMH;Columbus;9:15 AM;false
UA;1710;United Airlines;EWR;Newark;9:15 AM;false
CM;2358;Copa Airlines;EWR;Newark;9:15 AM;true
B6;389;JetBlue Airways;DCA;Washington;9:19 AM;false
PD;938;Porter Airlines;YTZ;Toronto;9:20 AM;false
9K;1001;Cape Air;AUG;Augusta;9:20 AM;false
B6;5111;JetBlue Airways;AUG;Augusta;9:20 AM;true
UA;1401;United Airlines;IAH;Houston;9:22 AM;false
NZ;6322;Air New Zealand;IAH;Houston;9:22 AM;true
AA;583;American Airlines;PHX;Phoenix;9:25 AM;false
AA;1172;American Airlines;MIA;Miami;9:25 AM;false
4M;6311;LATAM Airlines Argentina;MIA;Miami;9:25 AM;true
JJ;2133;LATAM Airlines Brasil;MIA;Miami;9:25 AM;true
LA;8207;LATAM Airlines;MIA;Miami;9:25 AM;true
XL;6260;LATAM Airlines Ecuador;MIA;Miami;9:25 AM;true
DL;5614;Delta Air Lines;RIC;Richmond;9:25 AM;false
NK;203;Spirit Airlines;PBI;West Palm Beach;9:27 AM;false
9K;1029;Cape Air;SLK;Saranac Lake;9:28 AM;false
B6;5128;JetBlue Airways;SLK;Saranac Lake;9:28 AM;true
XOJ;551;XOJET;MDW;Chicago;9:29 AM;false
FX;3601;FedEx;IND;Indianapolis;9:30 AM;false
FX;647;FedEx;MEM;Memphis;9:30 AM;false
AA;217;American Airlines;CLT;Charlotte;9:30 AM;false
B6;517;JetBlue Airways;JFK;New York;9:30 AM;false
EI;5009;Aer Lingus;JFK;New York;9:30 AM;true
EK;6706;Emirates;JFK;New York;9:30 AM;true
EY;8246;Etihad Airways;JFK;New York;9:30 AM;true
UA;525;United Airlines;IAD;Dulles;9:35 AM;false
AV;2032;AVIANCA;IAD;Dulles;9:35 AM;true
CA;7380;Air China;IAD;Dulles;9:35 AM;true
CM;8146;Copa Airlines;IAD;Dulles;9:35 AM;true
SA;7429;South African Airways;IAD;Dulles;9:35 AM;true
SK;6708;SAS;IAD;Dulles;9:35 AM;true
B6;251;JetBlue Airways;MCO;Orlando;9:35 AM;false
9K;1853;Cape Air;RKD;Rockland;9:35 AM;false
B6;5161;JetBlue Airways;RKD;Rockland;9:35 AM;true
9K;2071;Cape Air;PVC;Provincetown;9:36 AM;false
B6;5127;JetBlue Airways;PVC;Provincetown;9:36 AM;true
AC;8045;Air Canada;YOW;Ottawa;9:40 AM;false
UA;8335;United Airlines;YOW;Ottawa;9:40 AM;true
B6;61;JetBlue Airways;SJU;San Juan;9:45 AM;false
EK;6327;Emirates;SJU;San Juan;9:45 AM;true
LY;8574;El Al;SJU;San Juan;9:45 AM;true
DL;1205;Delta Air Lines;ATL;Atlanta;9:45 AM;false
AM;5669;Aeromexico;ATL;Atlanta;9:45 AM;true
VS;4265;Virgin Atlantic;ATL;Atlanta;9:45 AM;true
KS;125;PenAir;PQI;Presque Isle;9:50 AM;false
AS;3125;Alaska Airlines;PQI;Presque Isle;9:50 AM;true
AC;8457;Air Canada;YUL;Montreal;9:55 AM;false
UA;8443;United Airlines;YUL;Montreal;9:55 AM;true
B6;1081;JetBlue Airways;RIC;Richmond;9:59 AM;false
EK;6335;Emirates;RIC;Richmond;9:59 AM;true
LY;8560;El Al;RIC;Richmond;9:59 AM;true
DL;2748;Delta Air Lines;LGA;New York;10:00 AM;false
WS;6378;WestJet;LGA;New York;10:00 AM;true
AA;4762;American Airlines;LGA;New York;10:00 AM;false
FX;3636;FedEx;IND;Indianapolis;10:00 AM;false
AA;2130;American Airlines;DCA;Washington;10:00 AM;false
9K;55;Cape Air;RUT;Rutland;10:05 AM;false
B6;5101;JetBlue Airways;RUT;Rutland;10:05 AM;true
WS;3603;WestJet;YYZ;Toronto;10:10 AM;false
AA;8167;American Airlines;YYZ;Toronto;10:10 AM;true
DL;7027;Delta Air Lines;YYZ;Toronto;10:10 AM;true
AA;2253;American Airlines;ORD;Chicago;10:10 AM;false
AS;6764;Alaska Airlines;ORD;Chicago;10:10 AM;true
CX;7590;Cathay Pacific;ORD;Chicago;10:10 AM;true
DL;3440;Delta Air Lines;CVG;Cincinnati;10:15 AM;false
B6;597;JetBlue Airways;SEA;Seattle;10:15 AM;false
EK;6343;Emirates;SEA;Seattle;10:15 AM;true
LY;8568;El Al;SEA;Seattle;10:15 AM;true
9K;1833;Cape Air;BHB;Bar Harbor;10:15 AM;false
B6;5125;JetBlue Airways;BHB;Bar Harbor;10:15 AM;true
UA;1493;United Airlines;EWR;Newark;10:15 AM;false
CM;1194;Copa Airlines;EWR;Newark;10:15 AM;true
DL;561;Delta Air Lines;BDA;Bermuda;10:22 AM;false
WN;686;Southwest Airlines;BWI;Baltimore;10:25 AM;false
B6;455;JetBlue Airways;DCA;Washington;10:29 AM;false
EK;6017;Emirates;DCA;Washington;10:29 AM;true
AC;7625;Air Canada;YYZ;Toronto;10:30 AM;false
B6;1833;JetBlue Airways;SFO;San Francisco;10:35 AM;false
EK;6329;Emirates;SFO;San Francisco;10:35 AM;true
B6;921;JetBlue Airways;PBI;West Palm Beach;10:40 AM;false
EK;6315;Emirates;PBI;West Palm Beach;10:40 AM;true
B6;311;JetBlue Airways;ORD;Chicago;10:45 AM;false
EK;6067;Emirates;ORD;Chicago;10:45 AM;true
B6;1215;JetBlue Airways;BUF;Buffalo;10:45 AM;false
EK;6285;Emirates;BUF;Buffalo;10:45 AM;true
LY;8504;El Al;BUF;Buffalo;10:45 AM;true
B6;741;JetBlue Airways;SRQ;Sarasota;10:45 AM;false
LY;8576;El Al;SRQ;Sarasota;10:45 AM;true
UA;477;United Airlines;SFO;San Francisco;10:45 AM;false
NZ;9507;Air New Zealand;SFO;San Francisco;10:45 AM;true
B6;717;JetBlue Airways;JFK;New York;10:50 AM;false
EI;5019;Aer Lingus;JFK;New York;10:50 AM;true
EY;8278;Etihad Airways;JFK;New York;10:50 AM;true
B6;965;JetBlue Airways;RSW;Fort Myers;10:50 AM;false
EK;6323;Emirates;RSW;Fort Myers;10:50 AM;true
LY;8562;El Al;RSW;Fort Myers;10:50 AM;true
AA;891;American Airlines;CLT;Charlotte;10:55 AM;false
EK;240;Emirates;DXB;Dubai;10:55 AM;false
B6;5028;JetBlue Airways;DXB;Dubai;10:55 AM;true
DL;4047;Delta Air Lines;BNA;Nashville;10:55 AM;false
DL;2675;Delta Air Lines;LGA;New York;11:00 AM;false
WS;7058;WestJet;LGA;New York;11:00 AM;true
AA;791;American Airlines;PHL;Philadelphia;11:00 AM;false
AA;2121;American Airlines;LGA;New York;11:00 AM;false
DL;932;Delta Air Lines;DTW;Detroit;11:00 AM;false
9W;8377;Jet Airways (India);DTW;Detroit;11:00 AM;true
VS;4297;Virgin Atlantic;DTW;Detroit;11:00 AM;true
DL;3974;Delta Air Lines;JFK;New York;11:00 AM;false
AM;5503;Aeromexico;JFK;New York;11:00 AM;true
AR;7027;Aerolineas Argentinas;JFK;New York;11:00 AM;true
AZ;5990;Alitalia;JFK;New York;11:00 AM;true
MU;8876;China Eastern Airlines;JFK;New York;11:00 AM;true
UX;3328;Air Europa;JFK;New York;11:00 AM;true
VS;4606;Virgin Atlantic;JFK;New York;11:00 AM;true
WS;6349;WestJet;JFK;New York;11:00 AM;true
AA;2169;American Airlines;DCA;Washington;11:00 AM;false
9K;3051;Cape Air;MVY;Martha's Vineyard;11:00 AM;false
